,Name,atomic_radius_A,atomic_radius_B,atomic_radius_C,atomic_volume_A,atomic_volume_B,atomic_volume_C,density_A,density_B,density_C,dipole_polarizability_A,dipole_polarizability_B,dipole_polarizability_C,evaporation_heat_A,evaporation_heat_B,evaporation_heat_C,group_id_A,group_id_B,group_id_C,lattice_constant_A,lattice_constant_B,lattice_constant_C,period_A,period_B,period_C,series_id_A,series_id_B,series_id_C,specific_heat_capacity_A,specific_heat_capacity_B,specific_heat_capacity_C,vdw_radius_A,vdw_radius_B,vdw_radius_C,covalent_radius_cordero_A,covalent_radius_cordero_B,covalent_radius_cordero_C,covalent_radius_pyykko_A,covalent_radius_pyykko_B,covalent_radius_pyykko_C,electron_affinity_A,electron_affinity_B,electron_affinity_C,NumberofNeutrons_A,NumberofNeutrons_B,NumberofNeutrons_C,NumberofProtons_A,NumberofProtons_B,NumberofProtons_C,NumberofElectrons_A,NumberofElectrons_B,NumberofElectrons_C,heat_of_formation_A,heat_of_formation_B,heat_of_formation_C,vdw_radius_uff_A,vdw_radius_uff_B,vdw_radius_uff_C,vdw_radius_mm3_A,vdw_radius_mm3_B,vdw_radius_mm3_C,en_ghosh_A,en_ghosh_B,en_ghosh_C,c6_gb_A,c6_gb_B,c6_gb_C,atomic_weight_A,atomic_weight_B,atomic_weight_C,atomic_radius_rahm_A,atomic_radius_rahm_B,atomic_radius_rahm_C,covalent_radius_pyykko_double_A,covalent_radius_pyykko_double_B,covalent_radius_pyykko_double_C,dipole_polarizability_unc_A,dipole_polarizability_unc_B,dipole_polarizability_unc_C,pettifor_number_A,pettifor_number_B,pettifor_number_C,glawe_number_A,glawe_number_B,glawe_number_C,molar_heat_capacity_A,molar_heat_capacity_B,molar_heat_capacity_C,electronegativity_A,electronegativity_B,electronegativity_C,melting_point_A,melting_point_B,melting_point_C,boiling_point_A,boiling_point_B,boiling_point_C,FirstIonization_A,FirstIonization_B,FirstIonization_C,NumberofShells_A,NumberofShells_B,NumberofShells_C,FormEng,Moment
921,NiCrGe,135.0,140.0,125.0,6.6,7.23,13.6,8.9,7.15,5.3234,49.0,83.0,40.0,378.6,342.0,328.0,10.0,6.0,14.0,3.52,2.88,5.66,4.0,4.0,4.0,8.0,8.0,5.0,0.444,0.449,0.32,197.0,206.0,211.0,124.0,139.0,120.0,110.0,122.0,121.0,1.1571612,0.6758412,1.232676413,31.0,28.0,41.0,28.0,24.0,32.0,28.0,24.0,32.0,430.1,397.48,372.0,283.4,302.3,428.0,222.0,225.0,244.0,0.1472068,0.131305299999999,0.1895892,393.0,709.0,365.0,58.6934,51.9961,72.63,229.0,233.0,234.0,101.0,111.0,111.0,3.0,12.0,1.0,67.0,57.0,84.0,69.0,55.0,84.0,26.07,23.35,23.222,1.91,1.66,2.01,1728.0,2180.0,1211.4,3186.0,2944.0,3106.0,7.6398,6.7665,7.8994,4.0,4.0,4.0,-0.001,2.0
922,NiCrSn,135.0,140.0,145.0,6.6,7.23,16.3,8.9,7.15,7.287,49.0,83.0,53.0,378.6,342.0,296.0,10.0,6.0,14.0,3.52,2.88,5.82,4.0,4.0,5.0,8.0,8.0,7.0,0.444,0.449,0.227,197.0,206.0,217.0,124.0,139.0,139.0,110.0,122.0,140.0,1.1571612,0.6758412,1.1120702,31.0,28.0,69.0,28.0,24.0,50.0,28.0,24.0,50.0,430.1,397.48,301.2,283.4,302.3,439.199999999999,222.0,225.0,259.0,0.1472068,0.131305299999999,0.178052,393.0,709.0,715.0,58.6934,51.9961,118.71,229.0,233.0,248.0,101.0,111.0,130.0,3.0,12.0,6.0,67.0,57.0,83.0,69.0,55.0,83.0,26.07,23.35,26.99,1.91,1.66,1.96,1728.0,2180.0,505.08,3186.0,2944.0,2875.0,7.6398,6.7665,7.3439,4.0,4.0,5.0,0.081,2.488
923,NiCrP,135.0,140.0,100.0,6.6,7.23,17.0,8.9,7.15,1.823,49.0,83.0,25.0,378.6,342.0,49.8,10.0,6.0,15.0,3.52,2.88,7.17,4.0,4.0,3.0,8.0,8.0,1.0,0.444,0.449,0.769,197.0,206.0,180.0,124.0,139.0,107.0,110.0,122.0,111.0,1.1571612,0.6758412,0.7466071,31.0,28.0,16.0,28.0,24.0,15.0,28.0,24.0,15.0,430.1,397.48,316.5,283.4,302.3,414.7,222.0,225.0,222.0,0.1472068,0.131305299999999,0.206931,393.0,709.0,187.0,58.6934,51.9961,30.973761998,229.0,233.0,223.0,101.0,111.0,102.0,3.0,12.0,1.0,67.0,57.0,90.0,69.0,55.0,89.0,26.07,23.35,23.824,1.91,1.66,2.19,1728.0,2180.0,317.3,3186.0,2944.0,550.0,7.6398,6.7665,10.4867,4.0,4.0,3.0,-0.254,3.0
924,NiCrAs,135.0,140.0,115.0,6.6,7.23,13.1,8.9,7.15,5.75,49.0,83.0,30.0,378.6,342.0,32.4,10.0,6.0,15.0,3.52,2.88,4.13,4.0,4.0,4.0,8.0,8.0,5.0,0.444,0.449,0.329,197.0,206.0,185.0,124.0,139.0,119.0,110.0,122.0,121.0,1.1571612,0.6758412,0.80482,31.0,28.0,42.0,28.0,24.0,33.0,28.0,24.0,33.0,430.1,397.48,302.5,283.4,302.3,423.0,222.0,225.0,236.0,0.1472068,0.131305299999999,0.2068208,393.0,709.0,260.0,58.6934,51.9961,74.921595,229.0,233.0,231.0,101.0,111.0,114.0,3.0,12.0,1.0,67.0,57.0,89.0,69.0,55.0,90.0,26.07,23.35,24.64,1.91,1.66,2.18,1728.0,2180.0,1090.0,3186.0,2944.0,887.0,7.6398,6.7665,9.7886,4.0,4.0,4.0,-0.079,3.0
925,NiCrSb,135.0,140.0,145.0,6.6,7.23,18.4,8.9,7.15,6.68,49.0,83.0,43.0,378.6,342.0,195.2,10.0,6.0,15.0,3.52,2.88,4.51,4.0,4.0,5.0,8.0,8.0,5.0,0.444,0.449,0.207,197.0,206.0,206.0,124.0,139.0,139.0,110.0,122.0,140.0,1.1571612,0.6758412,1.04740119,31.0,28.0,71.0,28.0,24.0,51.0,28.0,24.0,51.0,430.1,397.48,264.4,283.4,302.3,442.0,222.0,225.0,252.0,0.1472068,0.131305299999999,0.191877399999999,393.0,709.0,504.0,58.6934,51.9961,121.76,229.0,233.0,246.0,101.0,111.0,133.0,3.0,12.0,2.0,67.0,57.0,88.0,69.0,55.0,91.0,26.07,23.35,25.23,1.91,1.66,2.05,1728.0,2180.0,903.78,3186.0,2944.0,1860.0,7.6398,6.7665,8.6084,4.0,4.0,5.0,-0.042,3.0499
926,NiMnAl,135.0,140.0,125.0,6.6,7.39,10.0,8.9,7.3,2.7,49.0,68.0,57.8,378.6,221.0,284.1,10.0,7.0,13.0,3.52,8.89,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.444,0.479,0.897,197.0,204.999999999999,184.0,124.0,150.0,121.0,110.0,119.0,126.0,1.1571612,-0.52,0.432835,31.0,30.0,14.0,28.0,25.0,13.0,28.0,25.0,13.0,430.1,283.3,330.9,283.4,296.1,449.9,222.0,224.0,236.0,0.1472068,0.1352844,0.150078,393.0,635.0,520.0,58.6934,54.938044,26.9815385,229.0,242.0,239.0,101.0,105.0,113.0,3.0,9.0,1.0,67.0,60.0,80.0,69.0,72.0,78.0,26.07,26.32,24.2,1.91,1.55,1.61,1728.0,1519.0,933.47,3186.0,2334.0,2792.0,7.6398,7.434,5.9858,4.0,4.0,3.0,-0.04,3.1633
927,NiMnGa,135.0,140.0,130.0,6.6,7.39,11.8,8.9,7.3,5.91,49.0,68.0,50.0,378.6,221.0,270.3,10.0,7.0,13.0,3.52,8.89,4.51,4.0,4.0,4.0,8.0,8.0,7.0,0.444,0.479,0.373,197.0,204.999999999999,187.0,124.0,150.0,122.0,110.0,119.0,124.0,1.1571612,-0.52,0.3012011,31.0,30.0,39.0,28.0,25.0,31.0,28.0,25.0,31.0,430.1,283.3,271.96,283.4,296.1,438.3,222.0,224.0,246.0,0.1472068,0.1352844,0.172377299999999,393.0,635.0,456.0,58.6934,54.938044,69.723,229.0,242.0,233.0,101.0,105.0,117.0,3.0,9.0,3.0,67.0,60.0,81.0,69.0,72.0,79.0,26.07,26.32,26.03,1.91,1.55,1.81,1728.0,1519.0,302.9146,3186.0,2334.0,2673.0,7.6398,7.434,5.9993,4.0,4.0,4.0,-0.005,3.3076
928,NiMnIn,135.0,140.0,155.0,6.6,7.39,15.7,8.9,7.3,7.31,49.0,68.0,65.0,378.6,221.0,225.1,10.0,7.0,13.0,3.52,8.89,4.59,4.0,4.0,5.0,8.0,8.0,7.0,0.444,0.479,0.233,197.0,204.999999999999,193.0,124.0,150.0,142.0,110.0,119.0,142.0,1.1571612,-0.52,0.383926,31.0,30.0,66.0,28.0,25.0,49.0,28.0,25.0,49.0,430.1,283.3,243.0,283.4,296.1,446.3,222.0,224.0,264.0,0.1472068,0.1352844,0.16423,393.0,635.0,643.0,58.6934,54.938044,114.818,229.0,242.0,246.0,101.0,105.0,136.0,3.0,9.0,4.0,67.0,60.0,79.0,69.0,72.0,80.0,26.07,26.32,26.74,1.91,1.55,1.78,1728.0,1519.0,429.75,3186.0,2334.0,2345.0,7.6398,7.434,5.7864,4.0,4.0,5.0,0.152,3.8207
929,NiMnSi,135.0,140.0,110.0,6.6,7.39,12.1,8.9,7.3,2.3296,49.0,68.0,37.3,378.6,221.0,383.0,10.0,7.0,14.0,3.52,8.89,5.43,4.0,4.0,3.0,8.0,8.0,5.0,0.444,0.479,0.712,197.0,204.999999999999,210.0,124.0,150.0,111.0,110.0,119.0,115.999999999999,1.1571612,-0.52,1.38952128,31.0,30.0,14.0,28.0,25.0,14.0,28.0,25.0,14.0,430.1,283.3,450.0,283.4,296.1,429.5,222.0,224.0,229.0,0.1472068,0.1352844,0.178503,393.0,635.0,308.0,58.6934,54.938044,28.085,229.0,242.0,231.999999999999,101.0,105.0,107.0,3.0,9.0,0.7,67.0,60.0,85.0,69.0,72.0,85.0,26.07,26.32,19.99,1.91,1.55,1.9,1728.0,1519.0,1687.0,3186.0,2334.0,3538.0,7.6398,7.434,8.1517,4.0,4.0,3.0,-0.251,3.0
930,NiMnGe,135.0,140.0,125.0,6.6,7.39,13.6,8.9,7.3,5.3234,49.0,68.0,40.0,378.6,221.0,328.0,10.0,7.0,14.0,3.52,8.89,5.66,4.0,4.0,4.0,8.0,8.0,5.0,0.444,0.479,0.32,197.0,204.999999999999,211.0,124.0,150.0,120.0,110.0,119.0,121.0,1.1571612,-0.52,1.232676413,31.0,30.0,41.0,28.0,25.0,32.0,28.0,25.0,32.0,430.1,283.3,372.0,283.4,296.1,428.0,222.0,224.0,244.0,0.1472068,0.1352844,0.1895892,393.0,635.0,365.0,58.6934,54.938044,72.63,229.0,242.0,234.0,101.0,105.0,111.0,3.0,9.0,1.0,67.0,60.0,84.0,69.0,72.0,84.0,26.07,26.32,23.222,1.91,1.55,2.01,1728.0,1519.0,1211.4,3186.0,2334.0,3106.0,7.6398,7.434,7.8994,4.0,4.0,4.0,-0.153,3.0076
931,NiMnSn,135.0,140.0,145.0,6.6,7.39,16.3,8.9,7.3,7.287,49.0,68.0,53.0,378.6,221.0,296.0,10.0,7.0,14.0,3.52,8.89,5.82,4.0,4.0,5.0,8.0,8.0,7.0,0.444,0.479,0.227,197.0,204.999999999999,217.0,124.0,150.0,139.0,110.0,119.0,140.0,1.1571612,-0.52,1.1120702,31.0,30.0,69.0,28.0,25.0,50.0,28.0,25.0,50.0,430.1,283.3,301.2,283.4,296.1,439.199999999999,222.0,224.0,259.0,0.1472068,0.1352844,0.178052,393.0,635.0,715.0,58.6934,54.938044,118.71,229.0,242.0,248.0,101.0,105.0,130.0,3.0,9.0,6.0,67.0,60.0,83.0,69.0,72.0,83.0,26.07,26.32,26.99,1.91,1.55,1.96,1728.0,1519.0,505.08,3186.0,2334.0,2875.0,7.6398,7.434,7.3439,4.0,4.0,5.0,-0.114,3.319
932,NiMnP,135.0,140.0,100.0,6.6,7.39,17.0,8.9,7.3,1.823,49.0,68.0,25.0,378.6,221.0,49.8,10.0,7.0,15.0,3.52,8.89,7.17,4.0,4.0,3.0,8.0,8.0,1.0,0.444,0.479,0.769,197.0,204.999999999999,180.0,124.0,150.0,107.0,110.0,119.0,111.0,1.1571612,-0.52,0.7466071,31.0,30.0,16.0,28.0,25.0,15.0,28.0,25.0,15.0,430.1,283.3,316.5,283.4,296.1,414.7,222.0,224.0,222.0,0.1472068,0.1352844,0.206931,393.0,635.0,187.0,58.6934,54.938044,30.973761998,229.0,242.0,223.0,101.0,105.0,102.0,3.0,9.0,1.0,67.0,60.0,90.0,69.0,72.0,89.0,26.07,26.32,23.824,1.91,1.55,2.19,1728.0,1519.0,317.3,3186.0,2334.0,550.0,7.6398,7.434,10.4867,4.0,4.0,3.0,-0.4,4.0
933,NiMnAs,135.0,140.0,115.0,6.6,7.39,13.1,8.9,7.3,5.75,49.0,68.0,30.0,378.6,221.0,32.4,10.0,7.0,15.0,3.52,8.89,4.13,4.0,4.0,4.0,8.0,8.0,5.0,0.444,0.479,0.329,197.0,204.999999999999,185.0,124.0,150.0,119.0,110.0,119.0,121.0,1.1571612,-0.52,0.80482,31.0,30.0,42.0,28.0,25.0,33.0,28.0,25.0,33.0,430.1,283.3,302.5,283.4,296.1,423.0,222.0,224.0,236.0,0.1472068,0.1352844,0.2068208,393.0,635.0,260.0,58.6934,54.938044,74.921595,229.0,242.0,231.0,101.0,105.0,114.0,3.0,9.0,1.0,67.0,60.0,89.0,69.0,72.0,90.0,26.07,26.32,24.64,1.91,1.55,2.18,1728.0,1519.0,1090.0,3186.0,2334.0,887.0,7.6398,7.434,9.7886,4.0,4.0,4.0,-0.25,4.0
934,NiMnSb,135.0,140.0,145.0,6.6,7.39,18.4,8.9,7.3,6.68,49.0,68.0,43.0,378.6,221.0,195.2,10.0,7.0,15.0,3.52,8.89,4.51,4.0,4.0,5.0,8.0,8.0,5.0,0.444,0.479,0.207,197.0,204.999999999999,206.0,124.0,150.0,139.0,110.0,119.0,140.0,1.1571612,-0.52,1.04740119,31.0,30.0,71.0,28.0,25.0,51.0,28.0,25.0,51.0,430.1,283.3,264.4,283.4,296.1,442.0,222.0,224.0,252.0,0.1472068,0.1352844,0.191877399999999,393.0,635.0,504.0,58.6934,54.938044,121.76,229.0,242.0,246.0,101.0,105.0,133.0,3.0,9.0,2.0,67.0,60.0,88.0,69.0,72.0,91.0,26.07,26.32,25.23,1.91,1.55,2.05,1728.0,1519.0,903.78,3186.0,2334.0,1860.0,7.6398,7.434,8.6084,4.0,4.0,5.0,-0.217,4.0
935,NiFeAl,135.0,140.0,125.0,6.6,7.1,10.0,8.9,7.87,2.7,49.0,62.0,57.8,378.6,340.0,284.1,10.0,8.0,13.0,3.52,2.87,4.05,4.0,4.0,3.0,8.0,8.0,7.0,0.444,0.449,0.897,197.0,204.0,184.0,124.0,142.0,121.0,110.0,115.999999999999,126.0,1.1571612,0.15323634,0.432835,31.0,30.0,14.0,28.0,26.0,13.0,28.0,26.0,13.0,430.1,415.5,330.9,283.4,291.2,449.9,222.0,223.0,236.0,0.1472068,0.1392532,0.150078,393.0,548.0,520.0,58.6934,55.845,26.9815385,229.0,237.0,239.0,101.0,109.0,113.0,3.0,4.0,1.0,67.0,61.0,80.0,69.0,71.0,78.0,26.07,25.1,24.2,1.91,1.83,1.61,1728.0,1811.0,933.47,3186.0,3134.0,2792.0,7.6398,7.9024,5.9858,4.0,4.0,3.0,-0.069,2.9978
936,NiFeGa,135.0,140.0,130.0,6.6,7.1,11.8,8.9,7.87,5.91,49.0,62.0,50.0,378.6,340.0,270.3,10.0,8.0,13.0,3.52,2.87,4.51,4.0,4.0,4.0,8.0,8.0,7.0,0.444,0.449,0.373,197.0,204.0,187.0,124.0,142.0,122.0,110.0,115.999999999999,124.0,1.1571612,0.15323634,0.3012011,31.0,30.0,39.0,28.0,26.0,31.0,28.0,26.0,31.0,430.1,415.5,271.96,283.4,291.2,438.3,222.0,223.0,246.0,0.1472068,0.1392532,0.172377299999999,393.0,548.0,456.0,58.6934,55.845,69.723,229.0,237.0,233.0,101.0,109.0,117.0,3.0,4.0,3.0,67.0,61.0,81.0,69.0,71.0,79.0,26.07,25.1,26.03,1.91,1.83,1.81,1728.0,1811.0,302.9146,3186.0,3134.0,2673.0,7.6398,7.9024,5.9993,4.0,4.0,4.0,-0.017,3.0
